GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplNil,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplScriptFactory,0,24,0,0,0,3,0,2,0,2
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplTrue,0,23,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplFloat,0,40,0,0,0,9,0,7,0,7
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplFalse,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplQuery,109,407,14,44,24,85,14,32,2,15
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplEmpty,0,15,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplReference,12,54,3,7,5,15,3,9,1,6
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplCut,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplQuery.JplQueryIter,4,33,1,3,1,6,1,4,0,3
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplNumber,0,52,0,0,0,8,0,7,0,7
prolobjectlink-jpi-jpl-yap/prolobjectlink-jpi-jpl,io.github.prolobjectlink.prolog.jpl,JplList,90,164,4,6,14,30,5,16,2,14
